Shop Name,latitude,longitude,Retailer Subtype,YTD Retailing Value,country,Opportunity
Ara blinks cosmetics,8.4786983,4.5033937,Secondary,194.65347,Nigeria,Low Performer
P best store,8.4787258,4.5033878,Secondary,13.97724,Nigeria,Underperforming
DIAMOND COSMETICS,8.4788233,4.5034433,Secondary,46.45293,Nigeria,Underperforming
BOSS,8.47885,4.5321717,Secondary,817.369707,Nigeria,High Performer
Qudback venture,8.4789965,4.502544,Secondary,82.91474,Nigeria,Low Performer
IYA IBEJI 1-1,8.4791293,4.5025574,Secondary,0.0,Nigeria,Dead Whitespace
ABIOLA,8.4793474,4.5026611,Secondary,0.0,Nigeria,Dead Whitespace
mummy ayinke store,8.4793568,4.5024103,Secondary,50.40288,Nigeria,Underperforming
DE-CHAMPS PHARMACY,8.479712229,4.533259459,Secondary,0.0,Nigeria,Dead Whitespace
DANCO SUPERMARKET,8.4799487,4.5385492,Secondary,82.09494,Nigeria,Low Performer
ALAHAJA MAGOBO,8.4799505,4.6706428,Secondary,0.0,Nigeria,Dead Whitespace
STANDOUT COSMETICS,8.4799817,4.5385683,Secondary,58.46112,Nigeria,Underperforming
ESTEEM G SUPERMARKET,8.4799923,4.6725197,Secondary,0.0,Nigeria,Dead Whitespace
DANCO SUPERMARKET,8.4800071,4.53853,Secondary,0.0,Nigeria,Dead Whitespace
ZAYAB SUPERMARKET,8.4800213,4.538423,Secondary,0.0,Nigeria,Dead Whitespace
Arabella,8.4800228,4.6199268,Secondary,250.62615,Nigeria,Low Performer
CTC cosmetics,8.4801241,4.5387986,Secondary,120.68526,Nigeria,Low Performer
SAM MLU PMS,8.4801467,8.567225,Secondary,368.5748325,Nigeria,Low Performer
IFY FABULOUS COSMETICS,8.4801777,4.5390799,Secondary,0.0,Nigeria,Dead Whitespace
CHIDOM COSMETICS,8.4802727,4.5389647,Secondary,94.41699,Nigeria,Low Performer
1ST LADY COSMETICS,8.4802949,4.5392343,Secondary,0.0,Nigeria,Dead Whitespace
IZEOROSI PHARMACY,8.4802984,8.5671181,Secondary,0.0,Nigeria,Dead Whitespace
